Unnamed: 0,date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
22,20190312,gchure,Y20I,O2,R1220,250.0,18735.21712301225,1220.0,0.9415908754630944
27,20190312,gchure,delta,O2,R0,250.0,19609.260072927373,0.0,1.0
32,20190312,gchure,Y20I,O2,R60,250.0,19276.064633641523,60.0,0.9777337556349306
39,20190312,gchure,Y20I,O2,R124,250.0,19008.45384396216,124.0,0.959850295853784
85,20190312,gchure,Q294V,O2,R260,250.0,7961.714377703589,260.0,0.22163670889663706
17,20190312,gchure,Q294V,O2,R260,500.0,14602.03407095472,260.0,0.7334218797294384
56,20190312,gchure,delta,O2,R0,500.0,18297.369264338227,0.0,1.0
57,20190312,gchure,Y20I,O2,R60,500.0,17502.350554979217,60.0,0.942648073305956
66,20190312,gchure,Y20I,O2,R124,500.0,17835.19131884945,124.0,0.9666589033223536
70,20190312,gchure,F164T,O2,R260,500.0,15668.991830083038,260.0,0.8103912421693558
81,20190312,gchure,Y20I,O2,R260,500.0,17466.139220037097,260.0,0.9400358205342336
93,20190312,gchure,Y20I,O2,R1220,500.0,18014.006257423393,1220.0,0.979558450374726
4,20190312,gchure,delta,O2,R0,1000.0,17405.63778609689,0.0,1.0
8,20190312,gchure,Q294V,O2,R260,1000.0,11535.393521020005,260.0,0.5479118765688713
14,20190312,gchure,Y20I,O2,R260,1000.0,16748.647215716806,260.0,0.9494028492405182
19,20190312,gchure,F164T,O2,R260,1000.0,15411.15665538946,260.0,0.8463980047705036
50,20190312,gchure,Y20I,O2,R1220,1000.0,17348.66233988478,1220.0,0.995612120825547
63,20190312,gchure,Y20I,O2,R60,1000.0,17351.071195263303,60.0,0.9957976352366203
77,20190312,gchure,Y20I,O2,R124,1000.0,17507.50494880831,124.0,1.007845147893323
13,20190312,gchure,Y20I,O2,R124,5000.0,16686.123708240848,124.0,0.9260736538721775
29,20190312,gchure,Y20I,O2,R1220,5000.0,16462.577488829218,1220.0,0.9091948260254448
40,20190312,gchure,Y20I,O2,R60,5000.0,16800.44713641209,60.0,0.934705629255298
71,20190312,gchure,delta,O2,R0,5000.0,17665.217478368304,0.0,1.0
75,20190312,gchure,Y20I,O2,R260,5000.0,16745.979709851697,260.0,0.9305930733883852
82,20190312,gchure,Q294V,O2,R260,5000.0,14465.634584818556,260.0,0.7584159151350471
84,20190312,gchure,F164T,O2,R260,5000.0,15020.725307954135,260.0,0.8003279670578393
