# Date : 2018-09-20# Equipment : MACSQuant (Bjorkman lab)# User : gchure# Description :# A titration run of Q294K inducer mutants in O1 and O2 as well # as Y20I-Q294K in O2.date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20180920,gchure,Y20I-Q294K,O2,R260,100.0,7897.958069849763,260.0,
20180920,gchure,wt,O2,R260,100.0,9572.9239295042,260.0,
20180920,gchure,Q294K,O2,R260,100.0,9448.948563263588,260.0,
20180920,gchure,Q294K,O1,R260,250.0,4743.862701468645,260.0,
20180920,gchure,delta,O1,R0,250.0,10868.762047571881,0.0,
20180920,gchure,delta,O2,R0,250.0,13096.792815621036,0.0,
20180920,gchure,Y20I-Q294K,O2,R260,250.0,7270.448464245455,260.0,
20180920,gchure,wt,O2,R260,250.0,10421.786952669405,260.0,
20180920,gchure,Q294K,O2,R260,250.0,9440.537681849073,260.0,
20180920,gchure,Q294K,O1,R260,500.0,5064.1309945368885,260.0,
20180920,gchure,delta,O1,R0,500.0,10358.659528579921,0.0,
20180920,gchure,wt,O2,R260,500.0,10564.963564157368,260.0,
20180920,gchure,Q294K,O2,R260,500.0,8865.249165782076,260.0,
20180920,gchure,delta,O2,R0,500.0,12072.223801896878,0.0,
20180920,gchure,Y20I-Q294K,O2,R260,500.0,7165.87391832524,260.0,
20180920,gchure,delta,O1,R0,1000.0,9161.118727840463,0.0,
20180920,gchure,Q294K,O1,R260,1000.0,5907.987627976606,260.0,
20180920,gchure,wt,O2,R260,1000.0,9593.947270964827,260.0,
20180920,gchure,delta,O2,R0,1000.0,11079.389054956451,0.0,
20180920,gchure,Q294K,O2,R260,1000.0,8823.879442726466,260.0,
20180920,gchure,Y20I-Q294K,O2,R260,1000.0,6370.807895078072,260.0,
20180920,gchure,Q294K,O1,R260,5000.0,7832.41421595214,260.0,
20180920,gchure,delta,O1,R0,5000.0,9179.786686706237,0.0,
20180920,gchure,Y20I-Q294K,O2,R260,5000.0,6449.472567481083,260.0,
20180920,gchure,wt,O2,R260,5000.0,10005.056453454521,260.0,
20180920,gchure,Q294K,O2,R260,5000.0,9965.179812768924,260.0,
20180920,gchure,delta,O2,R0,5000.0,10757.278930757302,0.0,
# Date : 2018-09-20# Equipment : MACSQuant (Bjorkman lab)# User : gchure# Description :# A titration run of Q294K inducer mutants in O1 and O2 as well # as Y20I-Q294K in O2.date,username,mutant,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20180920,gchure,delta,O1,R0,0.0,17353.368783689868,0.0,1.0
20180920,gchure,Q294K,O1,R260,0.0,4568.95529817998,260.0,0.11255710155153094
20180920,gchure,wt,O2,R260,0.0,3262.1868110730234,260.0,0.01637589437614718
20180920,gchure,Y20I-Q294K,O2,R260,0.0,3081.90132650507,260.0,0.006994996102910672
20180920,gchure,Q294K,O2,R260,0.0,8859.95486825062,260.0,0.30764777811875016
20180920,gchure,delta,O2,R0,0.0,22165.82944208243,0.0,1.0
20180920,gchure,delta,O1,R0,0.1,17674.996355117324,0.0,1.0
20180920,gchure,Q294K,O1,R260,0.1,4378.884950448673,260.0,0.09986808156305721
20180920,gchure,Q294K,O2,R260,0.1,8797.475629463259,260.0,0.31589347689783237
20180920,gchure,wt,O2,R260,0.1,3283.2983980246668,260.0,0.02034542504047548
20180920,gchure,Y20I-Q294K,O2,R260,0.1,3086.0093545577474,260.0,0.009771156205406254
20180920,gchure,delta,O2,R0,0.1,21561.168673155673,0.0,1.0
20180920,gchure,Q294K,O1,R260,5.0,3935.14995475866,260.0,0.08912784841861315
20180920,gchure,delta,O1,R0,5.0,15312.844842909193,0.0,1.0
20180920,gchure,delta,O2,R0,5.0,15709.225726587412,0.0,1.0
20180920,gchure,Q294K,O2,R260,5.0,8094.021463127079,260.0,0.40909558949776226
20180920,gchure,Y20I-Q294K,O2,R260,5.0,3060.616626798036,260.0,0.01852679912382841
20180920,gchure,wt,O2,R260,5.0,3373.9123274522244,260.0,0.0428370874500705
20180920,gchure,delta,O1,R0,10.0,15718.984793216921,0.0,1.0
20180920,gchure,Q294K,O1,R260,10.0,4235.665990811653,260.0,0.10955872570455455
20180920,gchure,Y20I-Q294K,O2,R260,10.0,3422.406775489139,260.0,0.03660471553763174
20180920,gchure,wt,O2,R260,10.0,4079.251266953466,260.0,0.07670190064350858
20180920,gchure,delta,O2,R0,10.0,19204.085315538785,0.0,1.0
20180920,gchure,Q294K,O2,R260,10.0,8153.307181937503,260.0,0.32540334562423323
20180920,gchure,delta,O1,R0,25.0,16327.753910684747,0.0,1.0
20180920,gchure,Q294K,O1,R260,25.0,4356.421670518991,260.0,0.1092669056503047
20180920,gchure,Y20I-Q294K,O2,R260,25.0,4831.819943151138,260.0,0.11336819333826187
20180920,gchure,wt,O2,R260,25.0,8279.339365442114,260.0,0.31442425414995195
20180920,gchure,delta,O2,R0,25.0,20034.944691278866,0.0,1.0
20180920,gchure,Q294K,O2,R260,25.0,8475.167426215468,260.0,0.3258447608020418
20180920,gchure,Q294K,O1,R260,50.0,3782.673938823834,260.0,0.11891779420241584
20180920,gchure,delta,O1,R0,50.0,10993.431574794002,0.0,1.0
20180920,gchure,delta,O2,R0,50.0,10891.323141749448,0.0,1.0
20180920,gchure,Q294K,O2,R260,50.0,6498.814886260466,260.0,0.4564985160417065
20180920,gchure,Y20I-Q294K,O2,R260,50.0,4890.327589001046,260.0,0.257474363521078
20180920,gchure,wt,O2,R260,50.0,7402.725835059395,260.0,0.5683428003238034
20180920,gchure,delta,O1,R0,75.0,16942.880584181086,0.0,1.0
20180920,gchure,Q294K,O1,R260,75.0,4619.291989466292,260.0,0.11885011870655626
20180920,gchure,Y20I-Q294K,O2,R260,75.0,7025.0141573338105,260.0,0.3284164894787487
20180920,gchure,wt,O2,R260,75.0,12972.430200291943,260.0,0.8085688947748119
20180920,gchure,Q294K,O2,R260,75.0,9647.895035576576,260.0,0.5401693840798335
20180920,gchure,delta,O2,R0,75.0,15343.594884212407,0.0,1.0
20180920,gchure,Q294K,O1,R260,100.0,4650.046356869426,260.0,0.13605698526541932
20180920,gchure,delta,O1,R0,100.0,15404.038450645932,0.0,1.0
20180920,gchure,delta,O2,R0,100.0,15853.621610909122,0.0,1.0
20180920,gchure,Y20I-Q294K,O2,R260,100.0,7897.958069849763,260.0,0.38314581755246063
20180920,gchure,wt,O2,R260,100.0,9572.9239295042,260.0,0.5130167818852607
20180920,gchure,Q294K,O2,R260,100.0,9448.948563263588,260.0,0.5034041678284571
20180920,gchure,Q294K,O1,R260,250.0,4743.862701468645,260.0,0.23919647059590976
20180920,gchure,delta,O1,R0,250.0,10868.762047571881,0.0,1.0
20180920,gchure,delta,O2,R0,250.0,13096.792815621036,0.0,1.0
20180920,gchure,Y20I-Q294K,O2,R260,250.0,7270.448464245455,260.0,0.4331576337964426
20180920,gchure,wt,O2,R260,250.0,10421.786952669405,260.0,0.7397499080867239
20180920,gchure,Q294K,O2,R260,250.0,9440.537681849073,260.0,0.6442846171661843
20180920,gchure,Q294K,O1,R260,500.0,5064.1309945368885,260.0,0.29762659299843913
20180920,gchure,delta,O1,R0,500.0,10358.659528579921,0.0,1.0
20180920,gchure,wt,O2,R260,500.0,10564.963564157368,260.0,0.8370814462097557
20180920,gchure,Q294K,O2,R260,500.0,8865.249165782076,260.0,0.6533606760957263
20180920,gchure,delta,O2,R0,500.0,12072.223801896878,0.0,1.0
20180920,gchure,Y20I-Q294K,O2,R260,500.0,7165.87391832524,260.0,0.469676564533265
20180920,gchure,delta,O1,R0,1000.0,9161.118727840463,0.0,1.0
20180920,gchure,Q294K,O1,R260,1000.0,5907.987627976606,260.0,0.495869374899442
20180920,gchure,wt,O2,R260,1000.0,9593.947270964827,260.0,0.822553792722592
20180920,gchure,delta,O2,R0,1000.0,11079.389054956451,0.0,1.0
20180920,gchure,Q294K,O2,R260,1000.0,8823.879442726466,260.0,0.7305639100224711
20180920,gchure,Y20I-Q294K,O2,R260,1000.0,6370.807895078072,260.0,0.4375276921098185
20180920,gchure,Q294K,O1,R260,5000.0,7832.41421595214,260.0,0.7912231892613945
20180920,gchure,delta,O1,R0,5000.0,9179.786686706237,0.0,1.0
20180920,gchure,Y20I-Q294K,O2,R260,5000.0,6449.472567481083,260.0,0.4636122463506724
20180920,gchure,wt,O2,R260,5000.0,10005.056453454521,260.0,0.9063368009563666
20180920,gchure,Q294K,O2,R260,5000.0,9965.179812768924,260.0,0.9013715495228826
20180920,gchure,delta,O2,R0,5000.0,10757.278930757302,0.0,1.0
