parameter,mean,median,mode,hpd_min,hpd_max,mutant,repressors,operator,IPTGuM,class
n_leapfrog__,7.808,7.0,7.0,3,15,F164T,260.0,O1,5.0,IND
fc_mu_wt,0.014023081807628792,0.014029620228421913,0.014246276704974692,0.009519817908652528,0.018677242608708622,F164T,260.0,O1,5.0,IND
log_fc_sigma_wt,-4.986778075770263,-5.005907102491355,-5.102168051224536,-5.432995942259485,-4.514394609268424,F164T,260.0,O1,5.0,IND
fc_mu_mut,0.009212529003886423,0.006955918343504841,0.007915909721559311,9.249203158367969e-06,0.02496446435469457,F164T,260.0,O1,5.0,IND
log_fc_sigma_mut,-3.1123135203097076,-3.127538654162969,-3.1791480656768707,-3.6261918679559284,-2.5759868915914765,F164T,260.0,O1,5.0,IND
fc_sigma_wt,0.007038611131163352,0.006698262596134796,0.006083542825023408,0.004176518584951259,0.010564514287519195,F164T,260.0,O1,5.0,IND
fc_sigma_mut,0.046251584267013646,0.04382553450878016,0.04162109846367701,0.02484661490704474,0.07309110999790366,F164T,260.0,O1,5.0,IND
lp__,61.93491649455306,62.29078611706306,64.11602609334984,58.89972711929439,64.11002377484007,F164T,260.0,O1,5.0,IND
bohr_wt,-4.266355811331521,-4.252455497276612,-4.236910961156915,-4.608828175246046,-3.940205214424043,F164T,260.0,O1,5.0,IND
bohr_mut,-5.158244095240331,-4.961182198041648,-4.830933248995684,-7.647727658583883,-3.284962594367071,F164T,260.0,O1,5.0,IND
delta_bohr,0.8918882839088219,0.7078994919707893,0.5940222878387695,-1.0840154433401854,3.3408485116556523,F164T,260.0,O1,5.0,IND
chain,2.5,2.5,4.0,1,4,F164T,260.0,O1,10.0,IND
chain_idx,500.5,500.5,120.0,1,951,F164T,260.0,O1,10.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,10.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,10.0,IND
energy__,-60.918417723567245,-61.260868207051445,-63.77347136200444,-64.475526014149,-56.82064215502026,F164T,260.0,O1,10.0,IND
treedepth__,2.7785,3.0,2.0,2,3,F164T,260.0,O1,10.0,IND
accept_stat__,0.9077430941250981,0.9648079800011775,0.9958758968500593,0.5812880160086292,1.0,F164T,260.0,O1,10.0,IND
stepsize__,0.46520997369031714,0.47628445962225363,0.4881357039227017,0.3955540670918003,0.5127169084249152,F164T,260.0,O1,10.0,IND
n_leapfrog__,6.9875,7.0,7.0,1,11,F164T,260.0,O1,10.0,IND
fc_mu_wt,0.024474014937177588,0.0244797656068384,0.024383742890018545,0.02114430365252362,0.02788151873952982,F164T,260.0,O1,10.0,IND
log_fc_sigma_wt,-5.240709603189241,-5.256509993485694,-5.345809525159142,-5.6850320650175865,-4.774558831002442,F164T,260.0,O1,10.0,IND
fc_mu_mut,0.011206884604551475,0.007871449132112962,0.009736957172261751,5.65475747782429e-06,0.033678213662503564,F164T,260.0,O1,10.0,IND
log_fc_sigma_mut,-2.83425545461236,-2.8548254980896894,-2.9072130360936312,-3.34565803277418,-2.2975721135795943,F164T,260.0,O1,10.0,IND
fc_sigma_wt,0.005454197736014767,0.0052134680455777705,0.004768089753962589,0.0033455968053978324,0.00838293050399925,F164T,260.0,O1,10.0,IND
fc_sigma_mut,0.06121403752678159,0.057565865774875886,0.05462776351985097,0.032758528114291086,0.09664003280101902,F164T,260.0,O1,10.0,IND
lp__,62.92885309902614,63.258459712375,65.15271594218204,59.923024340452955,65.11192723877897,F164T,260.0,O1,10.0,IND
bohr_wt,-3.6878199101231335,-3.6851240202087805,-3.689152694667207,-3.8262467596345884,-3.5436009645427267,F164T,260.0,O1,10.0,IND
bohr_mut,-5.041535587947178,-4.836610512404825,-4.622041944128883,-7.610435397233293,-2.9241504060455608,F164T,260.0,O1,10.0,IND
delta_bohr,1.353715677824065,1.1389712827913345,0.9328892494616761,-0.8002391848333197,3.9058659256208275,F164T,260.0,O1,10.0,IND
chain,2.5,2.5,3.0,1,4,F164T,260.0,O1,25.0,IND
chain_idx,500.5,500.5,387.0,1,951,F164T,260.0,O1,25.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,25.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,25.0,IND
energy__,-59.92919253594077,-60.2983787780373,-63.39267612537247,-63.33045094823948,-55.745257510157074,F164T,260.0,O1,25.0,IND
treedepth__,2.7905,3.0,3.0,2,3,F164T,260.0,O1,25.0,IND
accept_stat__,0.9454036796321114,0.971941646704092,0.9976348890215977,0.8087673566051201,1.0,F164T,260.0,O1,25.0,IND
stepsize__,0.4567528801337207,0.45788670492640393,0.40410279342838157,0.38839890680339434,0.5228392038786569,F164T,260.0,O1,25.0,IND
n_leapfrog__,7.022,7.0,7.0,1,7,F164T,260.0,O1,25.0,IND
fc_mu_wt,0.06524029711837526,0.0651725551630048,0.06528512640449435,0.057704201871051186,0.07305188614562341,F164T,260.0,O1,25.0,IND
log_fc_sigma_wt,-4.444152000483509,-4.457605837596276,-4.499073957520685,-4.864498414423298,-3.942543408435709,F164T,260.0,O1,25.0,IND
fc_mu_mut,0.0409072621874115,0.040623824784529916,0.042111206060327144,0.01781177871666817,0.0640638668596969,F164T,260.0,O1,25.0,IND
log_fc_sigma_mut,-3.389879934683022,-3.408035184220652,-3.4535230921928255,-3.923426664430557,-2.8755933054092915,F164T,260.0,O1,25.0,IND
fc_sigma_wt,0.012101106853808188,0.011590078655084619,0.011119288705695906,0.0071866238097076755,0.01838477399088844,F164T,260.0,O1,25.0,IND
fc_sigma_mut,0.035012579351751554,0.0331061840967349,0.03163399035947716,0.019148571109312056,0.05508500890006794,F164T,260.0,O1,25.0,IND
lp__,61.903314929339885,62.27627751641751,64.1110097568004,58.78658765139076,64.1110097568004,F164T,260.0,O1,25.0,IND
bohr_wt,-2.66394120399756,-2.663323514183384,-2.6614772977032004,-2.79164786256541,-2.539550474899424,F164T,260.0,O1,25.0,IND
bohr_mut,-3.200840768734242,-3.161928545590124,-3.124417807275899,-3.884009414991295,-2.6142463747125104,F164T,260.0,O1,25.0,IND
delta_bohr,0.5368995647366858,0.4978123969817134,0.4629405095726984,-0.0561675171954632,1.2444729566654043,F164T,260.0,O1,25.0,IND
chain,2.5,2.5,3.0,1,4,F164T,260.0,O1,50.0,IND
chain_idx,500.5,500.5,230.0,1,951,F164T,260.0,O1,50.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,50.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,50.0,IND
energy__,-39.68726009450607,-40.061035587072936,-42.73048654815356,-43.088158316160445,-35.306901390454996,F164T,260.0,O1,50.0,IND
treedepth__,2.6115,3.0,2.0,2,3,F164T,260.0,O1,50.0,IND
accept_stat__,0.9075955437845867,0.954537567101645,1.0,0.6658399905314596,1.0,F164T,260.0,O1,50.0,IND
stepsize__,0.5663391865625725,0.5768432789221932,0.5758011739459433,0.4291095853783799,0.6825606030275762,F164T,260.0,O1,50.0,IND
n_leapfrog__,6.3035,7.0,3.0,3,7,F164T,260.0,O1,50.0,IND
fc_mu_wt,0.12916804472803095,0.12884125059305085,0.12949383245234858,0.097903820420286,0.15931372379343456,F164T,260.0,O1,50.0,IND
log_fc_sigma_wt,-3.04462141391472,-3.066263572481643,-3.130086902844401,-3.504669293901682,-2.5665296780482114,F164T,260.0,O1,50.0,IND
fc_mu_mut,0.12360529424090651,0.12378923949045306,0.1312314562956587,0.07209382635349659,0.17880328951199664,F164T,260.0,O1,50.0,IND
log_fc_sigma_mut,-2.5714045396932503,-2.59986120181622,-2.6780849100271586,-3.026822913189636,-1.9950200518160615,F164T,260.0,O1,50.0,IND
fc_sigma_wt,0.04905818191179967,0.04659492858789197,0.04371399821689463,0.02831232332847068,0.0744170422893539,F164T,260.0,O1,50.0,IND
fc_sigma_mut,0.07939702347377525,0.07428388800284005,0.06869458457367512,0.043327073553313535,0.12606511936386405,F164T,260.0,O1,50.0,IND
lp__,41.6655293033042,42.01918039030164,43.889144550513016,38.45690069941011,43.843962682488275,F164T,260.0,O1,50.0,IND
bohr_wt,-1.9153966553093542,-1.9112431903775278,-1.9054415900916453,-2.174116722169886,-1.6262124449735114,F164T,260.0,O1,50.0,IND
bohr_mut,-1.9847100104703619,-1.9570262333880772,-1.8901141357987734,-2.4998556699117223,-1.4908184254581642,F164T,260.0,O1,50.0,IND
delta_bohr,0.06931335516100919,0.04150808132157435,-0.015327454292871856,-0.5203776432209726,0.6469481789029232,F164T,260.0,O1,50.0,IND
chain,2.5,2.5,1.0,1,4,F164T,260.0,O1,75.0,IND
chain_idx,500.5,500.5,483.0,1,951,F164T,260.0,O1,75.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,75.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,75.0,IND
energy__,-34.6695470763174,-35.02793517696078,-37.64499588857817,-38.10261417948801,-30.356601651825642,F164T,260.0,O1,75.0,IND
treedepth__,2.6235,3.0,2.0,2,3,F164T,260.0,O1,75.0,IND
accept_stat__,0.9188096528898931,0.9546319584954905,0.9986642696686304,0.727634009282767,1.0,F164T,260.0,O1,75.0,IND
stepsize__,0.5771940856383934,0.5769678387413214,0.6071769026641959,0.5476637624067008,0.6071769026641959,F164T,260.0,O1,75.0,IND
n_leapfrog__,6.091,7.0,7.0,3,7,F164T,260.0,O1,75.0,IND
fc_mu_wt,0.22111854407795875,0.221144854733197,0.22105982385106615,0.1816130544061042,0.26173058125063464,F164T,260.0,O1,75.0,IND
log_fc_sigma_wt,-2.7564560921361148,-2.7784535759431837,-2.8807621264881846,-3.200315639050601,-2.2857914919650995,F164T,260.0,O1,75.0,IND
fc_mu_mut,0.21947308757099143,0.21935808371646398,0.22000324250032577,0.15610896411213449,0.28253652905608106,F164T,260.0,O1,75.0,IND
log_fc_sigma_mut,-2.4717472130063514,-2.4971996448205624,-2.582630820563488,-3.010761622737944,-1.904207899853085,F164T,260.0,O1,75.0,IND
fc_sigma_wt,0.06537917614373492,0.06213451945228479,0.056091997342896674,0.038173078891927864,0.09771337095026907,F164T,260.0,O1,75.0,IND
fc_sigma_mut,0.08815496202897477,0.08231518796378168,0.07557491820923687,0.045010852302651096,0.14104076264225757,F164T,260.0,O1,75.0,IND
lp__,36.66718587611851,37.00763761190119,38.84915269853518,33.6104994497359,38.830433543362034,F164T,260.0,O1,75.0,IND
bohr_wt,-1.263208173675562,-1.2590071418204891,-1.2595008861759953,-1.5001318912279633,-1.0318099958501048,F164T,260.0,O1,75.0,IND
bohr_mut,-1.279103659111508,-1.269411070842808,-1.265647477741704,-1.644408393778161,-0.8906952286594755,F164T,260.0,O1,75.0,IND
delta_bohr,0.015895485435943307,0.013218117521145989,0.006146591565708626,-0.41210244565487275,0.47511153958489727,F164T,260.0,O1,75.0,IND
chain,2.5,2.5,2.0,1,4,F164T,260.0,O1,100.0,IND
chain_idx,500.5,500.5,918.0,1,951,F164T,260.0,O1,100.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,100.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,100.0,IND
energy__,-36.68911125390222,-37.086090974668565,-40.17309425785224,-40.28300304109305,-32.48432997746462,F164T,260.0,O1,100.0,IND
treedepth__,2.624,3.0,2.0,2,3,F164T,260.0,O1,100.0,IND
accept_stat__,0.9226428857119638,0.9577047302174001,0.9967073616090075,0.7327769490804493,1.0,F164T,260.0,O1,100.0,IND
stepsize__,0.5881433403290777,0.5807114240318794,0.5429337944709428,0.5112035340925764,0.6799469791598745,F164T,260.0,O1,100.0,IND
n_leapfrog__,6.069,7.0,7.0,3,7,F164T,260.0,O1,100.0,IND
fc_mu_wt,0.28683474170681555,0.28687851147905935,0.28943258416234063,0.23958996872175076,0.33053561726426106,F164T,260.0,O1,100.0,IND
log_fc_sigma_wt,-2.6743440588706915,-2.6911895159628676,-2.774281260872788,-3.135802905414077,-2.1979285915099176,F164T,260.0,O1,100.0,IND
fc_mu_mut,0.23800075156640899,0.23807550708842906,0.23778640050366073,0.18050095005317757,0.29269193827056106,F164T,260.0,O1,100.0,IND
log_fc_sigma_mut,-2.566239417479114,-2.590685317391743,-2.664768403305987,-3.0611013166839958,-2.0055105148858403,F164T,260.0,O1,100.0,IND
fc_sigma_wt,0.07107312714961173,0.06780024214340948,0.06239430580642177,0.042055640224656445,0.10780930664187849,F164T,260.0,O1,100.0,IND
fc_sigma_mut,0.07994570806373279,0.07496864519659976,0.06961547438014815,0.04313333181994009,0.12731470578259246,F164T,260.0,O1,100.0,IND
lp__,38.7006651122232,39.090348114615026,40.99332799099915,35.35222983666049,40.921884602117444,F164T,260.0,O1,100.0,IND
bohr_wt,-0.9134811369045774,-0.9105929756530048,-0.898141428110328,-1.1549288040401726,-0.7057635426143609,F164T,260.0,O1,100.0,IND
bohr_mut,-1.170372676233174,-1.1632595804554038,-1.164854036882987,-1.4798753866973327,-0.8528380465553539,F164T,260.0,O1,100.0,IND
delta_bohr,0.25689153932859754,0.2555658902738977,0.2667126087726589,-0.1031142264197974,0.6762996875239485,F164T,260.0,O1,100.0,IND
chain,2.5,2.5,4.0,1,4,F164T,260.0,O1,250.0,IND
chain_idx,500.5,500.5,944.0,1,951,F164T,260.0,O1,250.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,250.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,250.0,IND
energy__,-36.854341940858355,-37.175458264398316,-37.902311900230046,-40.31235006252993,-32.69261999914722,F164T,260.0,O1,250.0,IND
treedepth__,2.66175,3.0,2.0,2,3,F164T,260.0,O1,250.0,IND
accept_stat__,0.9300765116508843,0.9599597967511246,0.9731943625722196,0.7528018662295854,1.0,F164T,260.0,O1,250.0,IND
stepsize__,0.5391702090510923,0.5431383204394056,0.5283141742257739,0.4961865433517827,0.5742176519737716,F164T,260.0,O1,250.0,IND
n_leapfrog__,6.2375,7.0,7.0,3,7,F164T,260.0,O1,250.0,IND
fc_mu_wt,0.5246988286832839,0.5246916901400396,0.5262998937045914,0.4797442057697713,0.5689891343789695,F164T,260.0,O1,250.0,IND
log_fc_sigma_wt,-2.6393021958656036,-2.6540060541344475,-2.7166566423410243,-3.087154948513162,-2.195814356575111,F164T,260.0,O1,250.0,IND
fc_mu_mut,0.5658323274041462,0.5657295615450965,0.5667704741303009,0.5124960486312209,0.6194159875461235,F164T,260.0,O1,250.0,IND
log_fc_sigma_mut,-2.5698725374152476,-2.597755159867872,-2.685586312188321,-3.083819402173808,-2.052419798920029,F164T,260.0,O1,250.0,IND
fc_sigma_wt,0.07346744351287533,0.07036874689991734,0.06609536587713909,0.045631594136064386,0.11126791284333262,F164T,260.0,O1,250.0,IND
fc_sigma_mut,0.079521116584779,0.07444049808767834,0.06818120680241138,0.04405280854889059,0.126182656579931,F164T,260.0,O1,250.0,IND
lp__,38.850657545426934,39.18780316523217,40.99649332598932,35.92848558546649,40.948900429359696,F164T,260.0,O1,250.0,IND
bohr_wt,0.09907601032069446,0.09884716634574545,0.10529675606875837,-0.08106754539616634,0.2777280379056328,F164T,260.0,O1,250.0,IND
bohr_mut,0.2656875604532719,0.2644486874693781,0.2686867438425695,0.049994605218071406,0.48707013073394095,F164T,260.0,O1,250.0,IND
delta_bohr,-0.1666115501325768,-0.16479002193421588,-0.16338998777381114,-0.46251784470528184,0.09549110907809559,F164T,260.0,O1,250.0,IND
chain,2.5,2.5,3.0,1,4,F164T,260.0,O1,500.0,IND
chain_idx,500.5,500.5,75.0,1,951,F164T,260.0,O1,500.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,500.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,500.0,IND
energy__,-39.75682487522404,-40.1097835691416,-42.230167786858736,-43.527255684898904,-35.605049165945275,F164T,260.0,O1,500.0,IND
treedepth__,2.6825,3.0,2.0,2,3,F164T,260.0,O1,500.0,IND
accept_stat__,0.9341649747780626,0.9629983271878362,0.9955467773458588,0.7726678513811683,1.0,F164T,260.0,O1,500.0,IND
stepsize__,0.5362658686025789,0.553598151685893,0.47240053048193487,0.47240053048193487,0.5654666405565414,F164T,260.0,O1,500.0,IND
n_leapfrog__,6.2635,7.0,3.0,3,7,F164T,260.0,O1,500.0,IND
fc_mu_wt,0.649277376930925,0.6492792644915554,0.648758131879878,0.6216159949731889,0.6807749273511691,F164T,260.0,O1,500.0,IND
log_fc_sigma_wt,-3.0869586222406538,-3.1070581159728294,-3.2159057007035403,-3.5470797877000515,-2.621415435321207,F164T,260.0,O1,500.0,IND
fc_mu_mut,0.7169540717331055,0.7165512369770128,0.7087437222880159,0.6488882531862743,0.7850895841193115,F164T,260.0,O1,500.0,IND
log_fc_sigma_mut,-2.386790886829033,-2.4092473067374165,-2.487532591011314,-2.864851358358022,-1.8192683135821586,F164T,260.0,O1,500.0,IND
fc_sigma_wt,0.04705237542873126,0.044732359371357854,0.040118981574142995,0.02823323092091799,0.07182390667087574,F164T,260.0,O1,500.0,IND
fc_sigma_mut,0.09558435049250212,0.08988292428591513,0.08311479196203568,0.05174060770214166,0.15243881642324364,F164T,260.0,O1,500.0,IND
lp__,41.79372989967068,42.14170762977961,44.055383069523145,38.68303989341215,44.055383069523145,F164T,260.0,O1,500.0,IND
bohr_wt,0.6165126950457371,0.615872642635868,0.6135848999706177,0.48832240782535796,0.7490908818745224,F164T,260.0,O1,500.0,IND
bohr_mut,0.9357667702151959,0.9274183780720109,0.8892904385372524,0.5878331606725486,1.2642853343658549,F164T,260.0,O1,500.0,IND
delta_bohr,-0.31925407516945864,-0.3108243875089331,-0.2757055385666347,-0.6836245980938587,0.03199637743787498,F164T,260.0,O1,500.0,IND
chain,2.5,2.5,3.0,1,4,F164T,260.0,O1,1000.0,IND
chain_idx,500.5,500.5,950.0,1,951,F164T,260.0,O1,1000.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,1000.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,1000.0,IND
energy__,-34.19756577739717,-34.48272215785994,-31.947978811602997,-37.62618073245768,-30.01528752148326,F164T,260.0,O1,1000.0,IND
treedepth__,2.61775,3.0,2.0,2,3,F164T,260.0,O1,1000.0,IND
accept_stat__,0.9141868882230274,0.9514724362632279,0.6822072259170074,0.703510065049258,1.0,F164T,260.0,O1,1000.0,IND
stepsize__,0.5694166648722089,0.5534349960572753,0.5040579759779564,0.5040579759779564,0.6667386913963254,F164T,260.0,O1,1000.0,IND
n_leapfrog__,6.091,7.0,3.0,3,7,F164T,260.0,O1,1000.0,IND
fc_mu_wt,0.6844219778943718,0.683596037497155,0.6812187627015903,0.6209064533699139,0.745865878099032,F164T,260.0,O1,1000.0,IND
log_fc_sigma_wt,-2.3218479276580535,-2.3425798347674505,-2.3784624643404575,-2.749044453803922,-1.816808002977871,F164T,260.0,O1,1000.0,IND
fc_mu_mut,0.7747949365367978,0.774518164644835,0.77237442057823,0.7314791328959993,0.8255659471157255,F164T,260.0,O1,1000.0,IND
log_fc_sigma_mut,-2.7124906308768164,-2.7328833906683747,-2.8157531096436434,-3.2295447492225158,-2.194524089988504,F164T,260.0,O1,1000.0,IND
fc_sigma_wt,0.10117965738905635,0.09607944969422882,0.09269298677518334,0.059710427062333545,0.15556720568396973,F164T,260.0,O1,1000.0,IND
fc_sigma_mut,0.06897863865352094,0.06503150905423015,0.05985962090266892,0.03677290274472522,0.10801254735678904,F164T,260.0,O1,1000.0,IND
lp__,36.21667918127906,36.567908022855974,38.44769243418267,33.212623087096475,38.44769243418267,F164T,260.0,O1,1000.0,IND
bohr_wt,0.7781957640222307,0.7703473952458666,0.7593784009725085,0.49339743238286965,1.0766836293337452,F164T,260.0,O1,1000.0,IND
bohr_mut,1.2407535057865031,1.234001510380081,1.2217673496441503,0.9740000906288949,1.5214735556420795,F164T,260.0,O1,1000.0,IND
delta_bohr,-0.462557741764271,-0.4609243312857381,-0.4623889486716418,-0.8758059370760701,-0.07814623811942578,F164T,260.0,O1,1000.0,IND
chain,2.5,2.5,3.0,1,4,F164T,260.0,O1,5000.0,IND
chain_idx,500.5,500.5,325.0,1,951,F164T,260.0,O1,5000.0,IND
warmup,0.0,0.0,0.0,0,0,F164T,260.0,O1,5000.0,IND
divergent__,0.0,0.0,0.0,0,0,F164T,260.0,O1,5000.0,IND
energy__,-30.88375916099037,-31.19600432420752,-33.55235189817441,-34.32227761676763,-26.71395134952871,F164T,260.0,O1,5000.0,IND
treedepth__,2.68575,3.0,3.0,2,3,F164T,260.0,O1,5000.0,IND
accept_stat__,0.9213329021746458,0.9619781062396336,0.979553041599683,0.7146921543879179,1.0,F164T,260.0,O1,5000.0,IND
stepsize__,0.5459459197516354,0.5178429361915596,0.4734990240626534,0.43309796246765453,0.7149998441557168,F164T,260.0,O1,5000.0,IND
n_leapfrog__,6.7985,7.0,7.0,1,11,F164T,260.0,O1,5000.0,IND
fc_mu_wt,0.7525061494574612,0.7527399953481673,0.7523018021846752,0.6960866845547756,0.8046374801936889,F164T,260.0,O1,5000.0,IND
log_fc_sigma_wt,-2.4589030795696454,-2.4765479696346526,-2.5965764760523258,-2.914461822070482,-1.9757964038408158,F164T,260.0,O1,5000.0,IND
fc_mu_mut,0.805838712468036,0.8063589968377065,0.8012785921504654,0.7272325692105225,0.8827228238194217,F164T,260.0,O1,5000.0,IND
log_fc_sigma_mut,-2.1982439181914706,-2.2211520938461033,-2.2846342740166823,-2.6810348901059875,-1.6763249784822443,F164T,260.0,O1,5000.0,IND
fc_sigma_wt,0.08807071739665877,0.08403280929042692,0.07452829134750497,0.05029315167541904,0.13239624609288633,F164T,260.0,O1,5000.0,IND
fc_sigma_mut,0.11502258040207539,0.10848405299092886,0.10181129033247366,0.06813498287337302,0.18641748262407798,F164T,260.0,O1,5000.0,IND
lp__,32.87177872951694,33.260122705031364,35.058950352041464,29.84860082188508,35.036633277845844,F164T,260.0,O1,5000.0,IND
bohr_wt,1.1177747790523573,1.1132794434033306,1.1109265153358672,0.8287316851707678,1.4155349322734452,F164T,260.0,O1,5000.0,IND
bohr_mut,1.4438943062837375,1.4265231041809363,1.394304808720302,0.9587992923771099,1.987080098541212,F164T,260.0,O1,5000.0,IND
