,IPTG_uM,class,date,fold_change,mean_YFP,mean_YFP_bgcorr,operator,pseudo_fold_change,repressors,strain,username
66,25.0,dna,20170303,0.9727485640918572,20647.58968895205,16565.331460125282,O2,,260,Y20I,mrazomej
67,5000.0,dna,20170303,1.1126733528879682,20322.574125648,16435.050137684462,O2,,260,Y20I,mrazomej
68,500.0,dna,20170303,1.002215804855833,21131.108865614362,17148.07750799446,O2,,260,Y20I,mrazomej
69,50.0,dna,20170303,0.977397198018492,21666.629244970838,17579.418166581767,O2,,260,Y20I,mrazomej
70,5.0,dna,20170303,0.593312604168461,17995.377327814585,13382.799891948409,O2,,260,Y20I,mrazomej
71,75.0,dna,20170303,0.98234895577215,22751.30831706248,18672.739516465634,O2,,260,Y20I,mrazomej
0,0.1,,20170307,0.0,3167.647947224421,0.0,O2,,260,auto,mrazomej
1,0.0,,20170307,0.0,3391.4152517139205,0.0,O2,,260,auto,mrazomej
2,1000.0,,20170307,0.0,3084.309694101221,0.0,O2,,260,auto,mrazomej
3,100.0,,20170307,0.0,3110.10432896764,0.0,O2,,260,auto,mrazomej
4,10.0,,20170307,0.0,3107.5973801974214,0.0,O2,,260,auto,mrazomej
5,250.0,,20170307,0.0,3206.668083060394,0.0,O2,,260,auto,mrazomej
6,25.0,,20170307,0.0,3076.422433338562,0.0,O2,,260,auto,mrazomej
7,5000.0,,20170307,0.0,3017.1562296011816,0.0,O2,,260,auto,mrazomej
8,500.0,,20170307,0.0,3114.778671947829,0.0,O2,,260,auto,mrazomej
9,50.0,,20170307,0.0,3083.551761621539,0.0,O2,,260,auto,mrazomej
10,5.0,,20170307,0.0,3136.2710821575633,0.0,O2,,260,auto,mrazomej
11,75.0,,20170307,0.0,3097.990887259892,0.0,O2,,260,auto,mrazomej
12,0.1,,20170307,1.0,22016.8033933581,18849.155446133682,O2,,260,delta,mrazomej
13,0.0,,20170307,1.0,30977.53912960055,27586.12387788663,O2,,260,delta,mrazomej
14,1000.0,,20170307,1.0,21800.038208747017,18715.728514645794,O2,,260,delta,mrazomej
15,100.0,,20170307,1.0,22183.647362701493,19073.54303373385,O2,,260,delta,mrazomej
16,10.0,,20170307,1.0,23273.546126131125,20165.948745933703,O2,,260,delta,mrazomej
17,250.0,,20170307,1.0,21870.445171639585,18663.77708857919,O2,,260,delta,mrazomej
18,25.0,,20170307,1.0,21164.499584998768,18088.077151660207,O2,,260,delta,mrazomej
19,5000.0,,20170307,1.0,20725.411856784598,17708.25562718342,O2,,260,delta,mrazomej
20,500.0,,20170307,1.0,21715.64104767202,18600.86237572419,O2,,260,delta,mrazomej
21,50.0,,20170307,1.0,21471.119938490443,18387.568176868903,O2,,260,delta,mrazomej
22,5.0,,20170307,1.0,23409.513968963314,20273.24288680575,O2,,260,delta,mrazomej
23,75.0,,20170307,1.0,22058.377976985048,18960.38708972516,O2,,260,delta,mrazomej
24,0.1,dna,20170307,0.2431166254267425,7750.1910114325465,4582.543064208125,O2,,260,Q21A,mrazomej
25,0.0,dna,20170307,0.17310644919603047,8166.751203296705,4775.335951582785,O2,,260,Q21A,mrazomej
26,1000.0,dna,20170307,0.8468548442365943,18933.815050145968,15849.50535604475,O2,,260,Q21A,mrazomej
27,100.0,dna,20170307,0.8829135930064789,19950.39474024529,16840.290411277652,O2,,260,Q21A,mrazomej
28,10.0,dna,20170307,0.4303545046919768,11786.10426439751,8678.506884200091,O2,,260,Q21A,mrazomej
29,250.0,dna,20170307,0.8928716145984952,19871.024866646498,16664.356783586103,O2,,260,Q21A,mrazomej
30,25.0,dna,20170307,0.7549382873686963,16731.804420005763,13655.381986667202,O2,,260,Q21A,mrazomej
31,5000.0,dna,20170307,0.8616463538338975,18275.410123522368,15258.253893921192,O2,,260,Q21A,mrazomej
32,500.0,dna,20170307,0.8841484756654904,19560.702787507944,16445.924115560116,O2,,260,Q21A,mrazomej
33,50.0,dna,20170307,0.8259189901893184,18270.19350229835,15186.641740676809,O2,,260,Q21A,mrazomej
34,5.0,dna,20170307,0.31174620285304416,9456.377571636744,6320.10648947918,O2,,260,Q21A,mrazomej
35,75.0,dna,20170307,0.8683047062529726,19561.38422964635,16463.39334238646,O2,,260,Q21A,mrazomej
36,0.1,dna,20170307,0.010703563847526023,3369.4010860140556,201.7531387896347,O2,,260,Q21M,mrazomej
37,0.0,dna,20170307,-0.0040192785025492,3280.538937042871,-110.87631467104893,O2,,260,Q21M,mrazomej
38,1000.0,dna,20170307,0.7544691867523998,17204.750166024733,14120.440471923514,O2,,260,Q21M,mrazomej
39,100.0,dna,20170307,0.450387358668668,11700.586996384203,8590.482667416563,O2,,260,Q21M,mrazomej
40,10.0,dna,20170307,0.038983988870650785,3893.746501675015,786.1491214775937,O2,,260,Q21M,mrazomej
41,250.0,dna,20170307,0.581163035906236,14053.365437336328,10846.697354275932,O2,,260,Q21M,mrazomej
42,25.0,dna,20170307,0.11775603985735013,5206.402767352285,2129.980334013723,O2,,260,Q21M,mrazomej
43,5000.0,dna,20170307,0.7883540151375557,16977.530654373444,13960.374424772263,O2,,260,Q21M,mrazomej
44,500.0,dna,20170307,0.7074888018828629,16274.68050813696,13159.90183618913,O2,,260,Q21M,mrazomej
45,50.0,dna,20170307,0.2739872255693392,8121.5105513689205,5037.958789747383,O2,,260,Q21M,mrazomej
46,5.0,dna,20170307,0.01683039050669044,3477.4776767794883,341.20659462192503,O2,,260,Q21M,mrazomej
47,75.0,dna,20170307,0.29422359069710946,8676.584057805945,5578.593170546053,O2,,260,Q21M,mrazomej
48,0.1,,20170307,0.015182599915270273,3453.827133103807,286.1791858793854,O2,,260,wt,mrazomej
49,0.0,,20170307,0.006685803822304358,3575.8506641792555,184.435412465336,O2,,260,wt,mrazomej
50,1000.0,,20170307,0.8731599370996532,19426.134026723532,16341.824332622307,O2,,260,wt,mrazomej
51,100.0,,20170307,0.5858432285269132,14284.210359297294,11174.106030329656,O2,,260,wt,mrazomej
52,10.0,,20170307,0.03700863144237169,3853.91154502144,746.3141648240179,O2,,260,wt,mrazomej
53,250.0,,20170307,0.6779411015394797,15859.609681379077,12652.94159831868,O2,,260,wt,mrazomej
54,25.0,,20170307,0.1111072657529985,5086.139228388813,2009.7167950502508,O2,,260,wt,mrazomej
55,5000.0,,20170307,0.8959133132730193,18882.218200836665,15865.061971235484,O2,,260,wt,mrazomej
56,500.0,,20170307,0.9046283008247784,19941.64519677476,16826.866524826928,O2,,260,wt,mrazomej
57,50.0,,20170307,0.2619115499656664,7899.468242924635,4815.916481303097,O2,,260,wt,mrazomej
58,5.0,,20170307,0.025729060319085718,3657.882571255664,521.6114890981006,O2,,260,wt,mrazomej
59,75.0,,20170307,0.5174288785541721,12908.642716049382,9810.65182878949,O2,,260,wt,mrazomej
60,0.1,dna,20170307,0.4845664433745188,12301.316162370857,9133.668215146436,O2,,260,Y20I,mrazomej
61,0.0,dna,20170307,0.3593310883857028,13303.967169097748,9912.551917383827,O2,,260,Y20I,mrazomej
62,1000.0,dna,20170307,0.8106931085983724,18257.02182332262,15172.7121292214,O2,,260,Y20I,mrazomej
63,100.0,dna,20170307,0.8388683746925848,19110.29637330503,16000.192044337393,O2,,260,Y20I,mrazomej
64,10.0,dna,20170307,0.7815879270581704,18869.059457693056,15761.462077495637,O2,,260,Y20I,mrazomej
65,250.0,dna,20170307,0.9167782691910634,20317.21333889585,17110.545255835455,O2,,260,Y20I,mrazomej
66,25.0,dna,20170307,0.9121850506065232,19576.096005300424,16499.673571961863,O2,,260,Y20I,mrazomej
67,5000.0,dna,20170307,0.9412782120439216,19685.551424773104,16668.395195171917,O2,,260,Y20I,mrazomej
68,500.0,dna,20170307,0.8198265473645577,18364.259451441096,15249.48077949327,O2,,260,Y20I,mrazomej
69,50.0,dna,20170307,0.9790172005709544,21085.2972834473,18001.74552182576,O2,,260,Y20I,mrazomej
70,5.0,dna,20170307,0.6569719158254199,16455.222301496404,13318.95121933884,O2,,260,Y20I,mrazomej
71,75.0,dna,20170307,0.8521476730294079,19255.040625506008,16157.049738246118,O2,,260,Y20I,mrazomej
0,0.1,,20170308,0.0,3063.7238343112463,0.0,O2,,260,auto,nbellive
1,0.0,,20170308,0.0,3042.994216429296,0.0,O2,,260,auto,nbellive
2,1000.0,,20170308,0.0,3151.1538957822986,0.0,O2,,260,auto,nbellive
3,100.0,,20170308,0.0,3172.686317422136,0.0,O2,,260,auto,nbellive
4,10.0,,20170308,0.0,3081.8105743744463,0.0,O2,,260,auto,nbellive
5,250.0,,20170308,0.0,3204.214838319631,0.0,O2,,260,auto,nbellive
6,25.0,,20170308,0.0,3139.0030436203965,0.0,O2,,260,auto,nbellive
7,5000.0,,20170308,0.0,3008.613597826744,0.0,O2,,260,auto,nbellive
8,500.0,,20170308,0.0,3107.7674928141746,0.0,O2,,260,auto,nbellive
9,50.0,,20170308,0.0,3130.455829906924,0.0,O2,,260,auto,nbellive
10,5.0,,20170308,0.0,3117.6546781733446,0.0,O2,,260,auto,nbellive
11,75.0,,20170308,0.0,3186.3726853736407,0.0,O2,,260,auto,nbellive
12,0.1,,20170308,1.0,24045.69490700915,20981.9710726979,O2,,260,delta,nbellive
13,0.0,,20170308,1.0,24598.299914967305,21555.30569853801,O2,,260,delta,nbellive
14,1000.0,,20170308,1.0,20861.06556323311,17709.91166745081,O2,,260,delta,nbellive
15,100.0,,20170308,1.0,22089.398126672448,18916.711809250308,O2,,260,delta,nbellive
16,10.0,,20170308,1.0,21941.71070339575,18859.900129021305,O2,,260,delta,nbellive
17,250.0,,20170308,1.0,21355.193041335464,18150.978203015835,O2,,260,delta,nbellive
18,25.0,,20170308,1.0,22274.78426912979,19135.7812255094,O2,,260,delta,nbellive
19,5000.0,,20170308,1.0,18954.503788909988,15945.890191083245,O2,,260,delta,nbellive
20,500.0,,20170308,1.0,19813.284846747418,16705.517353933246,O2,,260,delta,nbellive
21,50.0,,20170308,1.0,22561.565643280297,19431.109813373376,O2,,260,delta,nbellive
22,5.0,,20170308,1.0,22235.941234947597,19118.28655677425,O2,,260,delta,nbellive
23,75.0,,20170308,1.0,21761.383133564155,18575.010448190515,O2,,260,delta,nbellive
24,0.1,dna,20170308,0.2467831009826585,8241.71972036007,5177.995886048824,O2,,260,Q21A,nbellive
25,0.0,dna,20170308,0.2875102594266589,9240.365749836898,6197.371533407602,O2,,260,Q21A,nbellive
26,1000.0,dna,20170308,0.9157155166061716,19368.394807391684,16217.240911609384,O2,,260,Q21A,nbellive
27,100.0,dna,20170308,0.9397418088804368,20949.511291116934,17776.824973694802,O2,,260,Q21A,nbellive
28,10.0,dna,20170308,0.4727968304584359,11998.711578138364,8916.90100376392,O2,,260,Q21A,nbellive
29,250.0,dna,20170308,1.0332675039639454,21959.030780653782,18754.81594233415,O2,,260,Q21A,nbellive
30,25.0,dna,20170308,0.7557585052322442,17601.03245906262,14462.029415442224,O2,,260,Q21A,nbellive
31,5000.0,dna,20170308,0.992372936866012,18832.883477694955,15824.269879868212,O2,,260,Q21A,nbellive
32,500.0,dna,20170308,1.0738480205334886,21046.954235323232,17939.186742509057,O2,,260,Q21A,nbellive
33,50.0,dna,20170308,0.8755161453199453,20142.706193000144,17012.25036309322,O2,,260,Q21A,nbellive
34,5.0,dna,20170308,0.39231304936999933,10618.00797599092,7500.3532978175745,O2,,260,Q21A,nbellive
35,75.0,dna,20170308,0.977765851987999,21348.383601934624,18162.010916560983,O2,,260,Q21A,nbellive
36,0.1,dna,20170308,0.006025107601667928,3190.1424677193345,126.41863340808868,O2,,260,Q21M,nbellive
37,0.0,dna,20170308,0.007276533433927258,3199.8421190232298,156.8479025939346,O2,,260,Q21M,nbellive
38,1000.0,dna,20170308,0.6751915569182684,15108.736727413418,11957.58283163112,O2,,260,Q21M,nbellive
39,100.0,dna,20170308,0.29391048398324604,8732.506240650479,5559.819923228342,O2,,260,Q21M,nbellive
40,10.0,dna,20170308,0.022796172800333813,3511.744116712654,429.9335423382077,O2,,260,Q21M,nbellive
41,250.0,dna,20170308,0.5172543757336261,12592.887737675239,9388.672899355608,O2,,260,Q21M,nbellive
42,25.0,dna,20170308,0.06310121612650824,4346.494110480844,1207.4910668604468,O2,,260,Q21M,nbellive
43,5000.0,dna,20170308,0.7780598617618718,15415.47071557096,12406.857117744215,O2,,260,Q21M,nbellive
44,500.0,dna,20170308,0.6471412094108764,13918.596197072915,10810.828704258742,O2,,260,Q21M,nbellive
45,50.0,dna,20170308,0.14935766532988504,6032.64102640099,2902.185196494066,O2,,260,Q21M,nbellive
46,5.0,dna,20170308,0.012225895433710924,3351.392850488189,233.7381723148433,O2,,260,Q21M,nbellive
47,75.0,dna,20170308,0.2632487532133525,8076.221026784789,4889.84834141115,O2,,260,Q21M,nbellive
48,0.1,,20170308,0.013757297983870095,3352.3790626472937,288.65522833604746,O2,,260,wt,nbellive
49,0.0,,20170308,0.01713183985975252,3412.27626178466,369.28204535536406,O2,,260,wt,nbellive
50,1000.0,,20170308,0.8942581555565361,18988.38683858604,15837.232942803741,O2,,260,wt,nbellive
51,100.0,,20170308,0.7356334064537359,17088.451464564554,13915.765147142418,O2,,260,wt,nbellive
52,10.0,,20170308,0.07223869835968763,4444.2252108886505,1362.4146365142042,O2,,260,wt,nbellive
53,250.0,,20170308,0.8946717519609096,19443.38230701609,16239.16746869646,O2,,260,wt,nbellive
54,25.0,,20170308,0.2329157083581245,7596.027082746017,4457.02403912562,O2,,260,wt,nbellive
55,5000.0,,20170308,1.014052348486951,19178.580994809745,16169.967396983004,O2,,260,wt,nbellive
56,500.0,,20170308,1.065883298853075,20913.89943907184,17806.131946257658,O2,,260,wt,nbellive
57,50.0,,20170308,0.479778238411312,12453.07946654396,9322.623636637036,O2,,260,wt,nbellive
58,5.0,,20170308,0.033572495036675316,3759.5032587103856,641.8485805370401,O2,,260,wt,nbellive
59,75.0,,20170308,0.6590438211143235,15428.1185483876,12241.74586301396,O2,,260,wt,nbellive
60,0.1,dna,20170308,0.40799582532785983,11624.280439121905,8560.55660481066,O2,,260,Y20I,nbellive
61,0.0,dna,20170308,0.41371537576736706,11960.755613280415,8917.761396851121,O2,,260,Y20I,nbellive
62,1000.0,dna,20170308,0.8522812248786894,18244.97910421067,15093.825208428369,O2,,260,Y20I,nbellive
63,100.0,dna,20170308,0.8283386642307343,18842.13010913429,15669.443791712158,O2,,260,Y20I,nbellive
64,10.0,dna,20170308,0.7207909840187381,16675.856546866842,13594.045972492393,O2,,260,Y20I,nbellive
65,250.0,dna,20170308,0.6527901776022412,15052.995123120747,11848.780284801116,O2,,260,Y20I,nbellive
66,25.0,dna,20170308,0.8212941207062048,18855.10765925144,15716.10461563104,O2,,260,Y20I,nbellive
67,5000.0,dna,20170308,0.911331475936324,17540.60524078519,14531.991642958445,O2,,260,Y20I,nbellive
68,500.0,dna,20170308,0.8878076826905656,17939.054142956677,14831.2866501425,O2,,260,Y20I,nbellive
69,50.0,dna,20170308,0.8173626815577771,19012.719852609425,15882.2640227025,O2,,260,Y20I,nbellive
70,5.0,dna,20170308,0.6764833514306785,16050.857241712078,12933.202563538733,O2,,260,Y20I,nbellive
71,75.0,dna,20170308,0.8906963461381007,19731.06662105397,16544.693935680334,O2,,260,Y20I,nbellive
0,0.1,,20170308,0.0,3139.7060579395365,0.0,O2,,260,auto,mrazomej
1,0.0,,20170308,0.0,3002.67798785588,0.0,O2,,260,auto,mrazomej
2,1000.0,,20170308,0.0,3217.9539811420186,0.0,O2,,260,auto,mrazomej
3,100.0,,20170308,0.0,3297.683596882599,0.0,O2,,260,auto,mrazomej
4,10.0,,20170308,0.0,3301.5682024852395,0.0,O2,,260,auto,mrazomej
5,250.0,,20170308,0.0,3273.956166840996,0.0,O2,,260,auto,mrazomej
6,25.0,,20170308,0.0,3161.432797363203,0.0,O2,,260,auto,mrazomej
7,5000.0,,20170308,0.0,3198.0011287668003,0.0,O2,,260,auto,mrazomej
8,500.0,,20170308,0.0,3189.031757645293,0.0,O2,,260,auto,mrazomej
9,50.0,,20170308,0.0,3177.644142205051,0.0,O2,,260,auto,mrazomej
10,5.0,,20170308,0.0,3423.2201783889973,0.0,O2,,260,auto,mrazomej
11,75.0,,20170308,0.0,3182.7081123200924,0.0,O2,,260,auto,mrazomej
12,0.1,,20170308,1.0,27171.001789521142,24031.295731581613,O2,,260,delta,mrazomej
13,0.0,,20170308,1.0,20189.45101358239,17186.77302572651,O2,,260,delta,mrazomej
14,1000.0,,20170308,1.0,25218.611179429045,22000.657198287026,O2,,260,delta,mrazomej
15,100.0,,20170308,1.0,24531.86336570345,21234.179768820853,O2,,260,delta,mrazomej
16,10.0,,20170308,1.0,29473.314124887045,26171.745922401813,O2,,260,delta,mrazomej
17,250.0,,20170308,1.0,21821.151497725536,18547.19533088454,O2,,260,delta,mrazomej
18,25.0,,20170308,1.0,24007.684985752858,20846.25218838965,O2,,260,delta,mrazomej
19,5000.0,,20170308,1.0,24266.572924367832,21068.571795601027,O2,,260,delta,mrazomej
20,500.0,,20170308,1.0,21507.90783391591,18318.87607627061,O2,,260,delta,mrazomej
21,50.0,,20170308,1.0,25754.339966345753,22576.695824140697,O2,,260,delta,mrazomej
22,5.0,,20170308,1.0,25412.403013038656,21989.182834649662,O2,,260,delta,mrazomej
23,75.0,,20170308,1.0,25786.814263685956,22604.106151365868,O2,,260,delta,mrazomej
24,0.1,dna,20170308,0.22423576725166008,8528.382094362283,5388.676036422746,O2,,260,Q21A,mrazomej
25,0.0,dna,20170308,0.2702270231570365,7647.008500273607,4644.330512417729,O2,,260,Q21A,mrazomej
26,1000.0,dna,20170308,0.7666409248814449,20084.5581636364,16866.604182494382,O2,,260,Q21A,mrazomej
27,100.0,dna,20170308,0.7771795175732221,19800.45318567786,16502.769588795258,O2,,260,Q21A,mrazomej
28,10.0,dna,20170308,0.3878989584833102,13453.561187474725,10151.992984989483,O2,,260,Q21A,mrazomej
29,250.0,dna,20170308,0.9239924184629584,20411.42403632989,17137.467869488897,O2,,260,Q21A,mrazomej
30,25.0,dna,20170308,0.6270368336799863,16232.800763665537,13071.367966302336,O2,,260,Q21A,mrazomej
31,5000.0,dna,20170308,0.8164138038241542,20398.673969555726,17200.672840788924,O2,,260,Q21A,mrazomej
32,500.0,dna,20170308,0.9147580326155388,19946.370796902458,16757.339039257167,O2,,260,Q21A,mrazomej
33,50.0,dna,20170308,0.7043878909141129,19080.395297580977,15902.751155375927,O2,,260,Q21A,mrazomej
34,5.0,dna,20170308,0.3011815302953812,10045.95591447371,6622.7357360847145,O2,,260,Q21A,mrazomej
35,75.0,dna,20170308,0.6915227583270126,18813.96194762921,15631.25383530912,O2,,260,Q21A,mrazomej
36,0.1,dna,20170308,0.012957434505570688,3451.0899984655066,311.3839405259692,O2,,260,Q21M,mrazomej
37,0.0,dna,20170308,0.01082342765147984,3188.6977822622357,186.0197944063561,O2,,260,Q21M,mrazomej
38,1000.0,dna,20170308,0.6433193624816127,17371.402744120533,14153.448762978513,O2,,260,Q21M,mrazomej
39,100.0,dna,20170308,0.30068527514686416,9682.488783188472,6384.805186305874,O2,,260,Q21M,mrazomej
40,10.0,dna,20170308,0.019501344615619486,3811.952438910431,510.38423642519183,O2,,260,Q21M,mrazomej
41,250.0,dna,20170308,0.5892065180242155,14202.084546866465,10928.128380025468,O2,,260,Q21M,mrazomej
42,25.0,dna,20170308,0.06964196244500552,4613.20670938615,1451.773912022947,O2,,260,Q21M,mrazomej
43,5000.0,dna,20170308,0.6770678269630018,17462.853251628378,14264.852122861577,O2,,260,Q21M,mrazomej
44,500.0,dna,20170308,0.7065082297468366,16131.46846524292,12942.436707597626,O2,,260,Q21M,mrazomej
45,50.0,dna,20170308,0.1413582368058145,6369.046056806775,3191.4019146017245,O2,,260,Q21M,mrazomej
46,5.0,dna,20170308,0.0025712995188347017,3479.7609536313003,56.54077524230297,O2,,260,Q21M,mrazomej
47,75.0,dna,20170308,0.2340585597901036,8473.392643451409,5290.684531131317,O2,,260,Q21M,mrazomej
48,0.1,,20170308,0.02343972352848013,3702.992985918955,563.2869279794177,O2,,260,wt,mrazomej
49,0.0,,20170308,0.019512966472467974,3338.042913676798,335.3649258209184,O2,,260,wt,mrazomej
50,1000.0,,20170308,0.9173222796510108,23399.646996095096,20181.69301495308,O2,,260,wt,mrazomej
51,100.0,,20170308,0.7057617487039369,18283.95544281936,14986.271845936764,O2,,260,wt,mrazomej
52,10.0,,20170308,0.06086598309993404,4894.537247493916,1592.9690450086764,O2,,260,wt,mrazomej
53,250.0,,20170308,0.9630281267896574,21135.42694354461,17861.47077670362,O2,,260,wt,mrazomej
54,25.0,,20170308,0.2202333570418776,7752.472898553845,4591.040101190642,O2,,260,wt,mrazomej
55,5000.0,,20170308,0.927124717732416,22731.194807788546,19533.193679021744,O2,,260,wt,mrazomej
56,500.0,,20170308,0.93434585969962,20305.197773859167,17116.16601621387,O2,,260,wt,mrazomej
57,50.0,,20170308,0.4297611881387037,12880.231763833866,9702.587621628816,O2,,260,wt,mrazomej
